id,a,b,mu,sigma2,depthRange,count,x,tau2,depTau,zNoise
1,10.000000,15.000000,0.283694,0.008942,0.567388,0,0.325699,0.003784,0.560567,0.204704
3,10.000000,15.000000,0.255130,0.007232,0.510261,0,0.243402,0.008629,1.388802,8.628840
4,10.000000,15.000000,0.264444,0.007770,0.528888,0,0.267078,0.003852,0.827591,1.620779
6,10.000000,15.000000,0.225486,0.005649,0.450971,0,0.176914,0.009709,2.521621,5.828046
8,10.000000,15.000000,0.294378,0.009629,0.588757,0,0.321204,0.004820,0.644098,2.672240
10,10.000000,15.000000,0.274091,0.008347,0.548181,0,0.383514,0.008647,0.598872,6.796082
11,10.000000,15.000000,0.281051,0.008777,0.562102,0,0.341793,0.003761,0.509049,0.355946
12,10.000000,15.000000,0.286364,0.009112,0.572727,0,0.372999,0.004850,0.484242,2.554405
13,10.000000,15.000000,0.279695,0.008692,0.559389,0,0.294768,0.005577,0.810410,3.975229
14,10.000000,15.000000,0.237135,0.006248,0.474270,0,0.373801,0.004340,0.457695,1.332760
15,10.000000,15.000000,0.266342,0.007882,0.532685,0,0.239309,0.005301,1.171457,2.001769
17,10.000000,15.000000,0.209911,0.004896,0.419823,0,0.185025,0.005113,1.845236,6.631978
18,10.000000,15.000000,0.244007,0.006615,0.488013,0,0.217420,0.004652,1.323443,1.978420
21,10.000000,15.000000,0.248848,0.006881,0.497696,0,0.265047,0.003614,0.815702,3.598321
22,10.000000,15.000000,0.241678,0.006490,0.483356,0,0.328685,0.003276,0.514645,1.796607
23,10.000000,15.000000,0.228857,0.005820,0.457715,0,0.177584,0.005873,2.094088,3.715396
26,10.000000,15.000000,0.255932,0.007278,0.511864,0,0.306858,0.003372,0.596060,2.245827
28,10.000000,15.000000,0.273729,0.008325,0.547457,0,0.331933,0.008206,0.768648,7.488342
30,10.000000,15.000000,0.248589,0.006866,0.497178,0,0.427713,0.008310,0.477511,4.890147
31,10.000000,15.000000,0.192757,0.004128,0.385514,0,0.146521,0.007965,3.227536,10.046133
1,10.139820,14.837062,0.300080,0.005669,0.567388,1,0.286870,0.000790,0.338297,0.349217
2,10.000000,15.000000,0.222850,0.005518,0.445699,0,0.209924,0.002012,0.975208,5.301280
3,10.098841,14.866011,0.252362,0.005533,0.510261,1,0.240762,0.001376,0.625465,3.264814
4,10.152507,14.829891,0.265441,0.004830,0.528888,1,0.259475,0.000732,0.397678,0.465352
5,10.000000,15.000000,0.241856,0.006499,0.483711,0,0.267071,0.002597,0.690173,6.767376
6,10.055838,14.909356,0.217041,0.004747,0.450971,1,0.213250,0.001074,0.704458,1.626467
7,10.000000,15.000000,0.238770,0.006335,0.477541,0,0.243678,0.002337,0.784339,6.288718
8,10.144954,14.834101,0.304383,0.006117,0.588757,1,0.285404,0.000990,0.381640,1.645805
10,10.028788,14.946668,0.297750,0.007254,0.548181,1,0.293525,0.001813,0.484238,4.468760
11,10.117698,14.851431,0.303818,0.005937,0.562102,1,0.288356,0.000801,0.337154,0.425338
12,10.077681,14.885389,0.314423,0.006960,0.572727,1,0.300516,0.001055,0.355521,1.824403
13,10.136988,14.838778,0.284770,0.005786,0.559389,1,0.275224,0.001084,0.428619,2.076194
14,9.965023,15.100275,0.264283,0.006459,0.474270,1,0.277150,0.000957,0.397934,1.081043
15,10.128844,14.843918,0.257526,0.005376,0.532685,1,0.250600,0.000915,0.474789,0.975049
16,10.000000,15.000000,0.198213,0.004365,0.396426,0,0.186389,0.002923,1.443516,7.698503
17,10.101037,14.864193,0.203585,0.003688,0.419823,1,0.208949,0.000721,0.605009,1.874558
18,10.125289,14.846189,0.235541,0.004570,0.488013,1,0.235759,0.000763,0.490407,0.458438
19,10.000000,15.000000,0.176424,0.003458,0.352848,0,0.180567,0.007740,2.252055,16.132408
21,10.146194,14.833429,0.254803,0.004379,0.497696,1,0.249692,0.000685,0.415197,1.432368
22,10.052553,14.913430,0.268790,0.005300,0.483356,1,0.266010,0.000691,0.367858,0.966581
23,10.082714,14.880404,0.216059,0.004530,0.457715,1,0.215043,0.000766,0.588902,0.872688
24,10.000000,15.000000,0.235272,0.006150,0.470545,0,0.298768,0.004423,0.711416,8.267700
26,10.121338,14.848909,0.274681,0.004899,0.511864,1,0.269188,0.000686,0.358180,1.001206
28,10.086628,14.876759,0.288545,0.006421,0.547457,1,0.276201,0.001621,0.516936,4.145551
30,9.942472,15.224319,0.270604,0.007322,0.497178,1,0.301962,0.001824,0.459381,3.869057
31,10.045299,14.922764,0.185489,0.003541,0.385514,1,0.184648,0.000750,0.786400,2.281980
1,10.407247,14.636848,0.292485,0.002440,0.567388,2,0.285395,0.000333,0.223201,0.368028
2,10.162879,14.824710,0.217407,0.003216,0.445699,1,0.215080,0.000785,0.595849,2.989557
3,10.320339,14.673845,0.246582,0.002796,0.510261,2,0.244913,0.000569,0.394042,2.003227
4,10.425217,14.629391,0.262028,0.002073,0.528888,2,0.262047,0.000301,0.251731,0.227187
5,10.152108,14.830130,0.252048,0.003952,0.483711,1,0.260624,0.001065,0.473091,4.532495
6,10.266768,14.718309,0.215144,0.002374,0.450971,2,0.218731,0.000434,0.431511,0.866798
7,10.165277,14.823503,0.240838,0.003669,0.477541,1,0.244520,0.000943,0.505782,3.893896
8,10.404905,14.635268,0.293763,0.002755,0.588757,2,0.283939,0.000423,0.253694,1.199421
9,10.000000,15.000000,0.203047,0.004581,0.406094,0,0.233425,0.002853,0.933778,9.546801
10,10.230608,14.757133,0.295701,0.003739,0.548181,2,0.288769,0.000775,0.330741,3.144242
11,10.372950,14.652401,0.295011,0.002598,0.562102,2,0.285385,0.000338,0.224926,0.450628
12,10.311270,14.689186,0.306807,0.003182,0.572727,2,0.294103,0.000454,0.245098,1.425865
13,10.391551,14.640611,0.279574,0.002652,0.559389,2,0.274222,0.000461,0.283872,1.420102
14,10.147443,14.913455,0.270884,0.003176,0.474270,2,0.269448,0.000405,0.275581,1.007224
15,10.382547,14.645626,0.253705,0.002418,0.532685,2,0.253753,0.000381,0.301433,0.614348
16,10.134138,14.840506,0.194316,0.002939,0.396426,1,0.190153,0.001049,0.871157,4.090816
17,10.334303,14.669118,0.206416,0.001747,0.419823,2,0.216837,0.000282,0.355303,1.217810
18,10.378523,14.647853,0.235661,0.002043,0.488013,2,0.240738,0.000310,0.302391,0.294973
19,10.053372,14.912457,0.177025,0.002957,0.352848,1,0.174735,0.002291,1.465055,8.625024
21,10.414306,14.633362,0.251905,0.001901,0.497696,2,0.252023,0.000276,0.260368,0.842607
22,10.281245,14.717194,0.267249,0.002363,0.483356,2,0.262771,0.000282,0.242419,0.461512
23,10.314808,14.684803,0.215512,0.002090,0.457715,2,0.222064,0.000306,0.352469,0.630214
24,10.082640,14.880460,0.253792,0.004697,0.470545,1,0.283655,0.001785,0.513993,6.017711
26,10.381743,14.649112,0.271549,0.002111,0.511864,2,0.268191,0.000281,0.232069,0.523378
27,10.000000,15.000000,0.210979,0.004946,0.421959,0,0.284111,0.003493,0.702994,8.654543
29,10.000000,15.000000,0.200785,0.004479,0.401570,0,0.291040,0.003786,0.696559,7.891353
30,10.093676,15.049605,0.284714,0.004182,0.497178,2,0.289402,0.000780,0.330388,2.964993
31,10.254880,14.731604,0.185064,0.001752,0.385514,2,0.193211,0.000287,0.450438,1.546160
1,10.829608,14.445663,0.287796,0.000833,0.567388,3,0.290819,0.000188,0.161661,0.365163
2,10.434523,14.624744,0.216176,0.001516,0.445699,2,0.231525,0.000435,0.385807,1.766108
3,10.673211,14.475782,0.245595,0.001143,0.510261,3,0.258541,0.000323,0.267559,1.309610
4,10.853694,14.439450,0.262041,0.000706,0.528888,3,0.272016,0.000166,0.173982,0.114555
5,10.410771,14.631811,0.256435,0.001941,0.483711,2,0.268891,0.000604,0.336999,3.202382
6,10.605914,14.518064,0.217275,0.000965,0.450971,3,0.233351,0.000241,0.283842,0.467597
7,10.436027,14.623747,0.242764,0.001752,0.477541,2,0.259136,0.000532,0.340820,2.539202
8,10.814449,14.442848,0.287420,0.000990,0.588757,3,0.291380,0.000242,0.182811,0.941614
9,10.123492,14.847396,0.213169,0.003142,0.406094,1,0.241236,0.001476,0.644208,6.035837
10,10.552926,14.555680,0.291728,0.001603,0.548181,3,0.294780,0.000450,0.242821,2.395072
11,10.779076,14.458631,0.288687,0.000905,0.562102,3,0.289579,0.000191,0.164420,0.454936
12,10.682855,14.491093,0.298777,0.001196,0.572727,3,0.296314,0.000262,0.183727,1.206430
13,10.790258,14.446868,0.276207,0.000987,0.559389,3,0.283400,0.000264,0.201741,1.040179
14,10.457904,14.707422,0.270015,0.001253,0.474270,3,0.267412,0.000229,0.211172,0.990600
15,10.784027,14.451784,0.253736,0.000872,0.532685,3,0.266619,0.000215,0.205495,0.414770
16,10.366183,14.646994,0.192382,0.001576,0.396426,2,0.208250,0.000558,0.537840,2.223593
17,10.698445,14.471686,0.212860,0.000683,0.419823,3,0.230645,0.000151,0.230173,0.876218
18,10.777735,14.453753,0.238917,0.000737,0.488013,3,0.253216,0.000171,0.203151,0.215854
19,10.205143,14.745570,0.176294,0.002013,0.352848,2,0.192173,0.001099,0.872367,4.488467
21,10.836549,14.442382,0.251983,0.000653,0.497696,3,0.260586,0.000149,0.179446,0.544034
22,10.654528,14.517867,0.264357,0.000840,0.483356,3,0.264675,0.000154,0.176958,0.203972
23,10.685704,14.486854,0.219639,0.000780,0.457715,3,0.237237,0.000166,0.228385,0.490843
24,10.269433,14.698953,0.266687,0.002782,0.470545,2,0.284301,0.001008,0.388029,4.699205
25,10.000000,15.000000,0.188311,0.003940,0.376623,0,0.216772,0.002568,1.025114,8.562314
26,10.795777,14.456334,0.269335,0.000721,0.511864,3,0.273775,0.000153,0.164952,0.282904
27,10.054255,14.911272,0.231161,0.004039,0.421959,1,0.280716,0.001889,0.538903,6.824781
29,10.012134,14.975382,0.221222,0.004047,0.401570,1,0.283768,0.002063,0.550290,6.847978
30,10.361469,14.844033,0.287295,0.001883,0.497178,3,0.287911,0.000452,0.254967,2.487332
31,10.589862,14.530867,0.189964,0.000709,0.385514,3,0.208818,0.000151,0.281187,1.139676
0,10.000000,15.000000,0.195158,0.004232,0.390315,0,0.296718,0.003509,0.647934,8.810770
1,11.425763,14.298411,0.289870,0.000262,0.567388,4,0.293384,0.000123,0.128724,0.386885
2,10.817263,14.431352,0.224884,0.000684,0.445699,3,0.249200,0.000290,0.273035,1.493860
3,11.158891,14.301858,0.253543,0.000458,0.510261,4,0.271421,0.000217,0.199330,1.143597
4,11.437170,14.289551,0.268783,0.000238,0.528888,4,0.277073,0.000107,0.134721,0.034608
5,10.785558,14.437346,0.263326,0.000885,0.483711,3,0.282836,0.000410,0.251826,2.552402
6,11.064132,14.337821,0.227216,0.000398,0.450971,4,0.245575,0.000158,0.208110,0.534224
7,10.815969,14.430283,0.251912,0.000804,0.477541,3,0.275165,0.000360,0.249509,2.047231
8,11.392796,14.291016,0.290069,0.000329,0.588757,4,0.296480,0.000162,0.144533,0.845555
9,10.313007,14.666481,0.224604,0.001949,0.406094,2,0.266465,0.000967,0.432205,4.424626
10,11.021100,14.375067,0.293581,0.000631,0.548181,4,0.301958,0.000307,0.191602,1.977497
11,11.362052,14.307053,0.289302,0.000281,0.562102,4,0.290716,0.000125,0.132241,0.447778
12,11.224926,14.327891,0.297131,0.000397,0.572727,4,0.297536,0.000176,0.149366,1.045593
13,11.345589,14.289215,0.280871,0.000352,0.559389,4,0.291566,0.000177,0.156339,0.928225
14,10.928086,14.522503,0.268305,0.000431,0.474270,4,0.263619,0.000151,0.176413,0.853527
15,11.328508,14.291599,0.262180,0.000317,0.532685,4,0.275775,0.000142,0.156237,0.459347
16,10.691434,14.450992,0.200532,0.000795,0.396426,3,0.229907,0.000367,0.360042,1.828797
17,11.169521,14.296094,0.224224,0.000283,0.419823,4,0.237222,0.000095,0.172456,0.497885
18,11.311426,14.291165,0.248339,0.000272,0.488013,4,0.260721,0.000110,0.153853,0.017078
19,10.429397,14.557689,0.182729,0.001222,0.352848,3,0.222130,0.000697,0.527670,3.315908
21,11.417382,14.291535,0.257824,0.000216,0.497696,4,0.264337,0.000094,0.138631,0.301263
22,11.203012,14.355110,0.264577,0.000260,0.483356,4,0.263374,0.000098,0.142571,0.092839
23,11.172717,14.313242,0.231072,0.000309,0.457715,4,0.245406,0.000106,0.170693,0.204015
24,10.558519,14.502004,0.275370,0.001447,0.470545,3,0.292403,0.000683,0.303168,3.790756
25,10.121034,14.849065,0.197590,0.002729,0.376623,1,0.252487,0.001575,0.607883,5.769228
26,11.381579,14.305770,0.272396,0.000226,0.511864,4,0.275458,0.000098,0.130090,0.124902
27,10.180773,14.759269,0.249566,0.002821,0.421959,2,0.292103,0.001255,0.409218,5.422307
29,10.091656,14.859427,0.241883,0.003139,0.401570,2,0.286769,0.001365,0.442003,5.737221
30,10.767346,14.646507,0.287664,0.000757,0.497178,4,0.288640,0.000306,0.209150,2.082206
31,11.017838,14.346361,0.201718,0.000311,0.385514,4,0.216154,0.000094,0.207339,0.657824
0,9.986019,15.033525,0.216109,0.004083,0.390315,1,0.313052,0.002493,0.497148,6.961170
1,12.156468,14.199211,0.292024,0.000102,0.567388,5,0.296653,0.000088,0.106473,0.375451
2,11.246229,14.253638,0.237844,0.000373,0.445699,4,0.254666,0.000211,0.223500,1.149897
3,11.723039,14.154634,0.263595,0.000222,0.510261,5,0.276787,0.000159,0.164099,0.917545
4,12.145479,14.183787,0.273877,0.000095,0.528888,5,0.281121,0.000075,0.109738,0.063564
5,11.246677,14.262691,0.273669,0.000447,0.483711,4,0.291128,0.000305,0.205297,2.078953
6,11.596911,14.182072,0.237891,0.000193,0.450971,5,0.249916,0.000113,0.170212,0.399275
7,11.262490,14.254517,0.264251,0.000423,0.477541,4,0.281728,0.000266,0.204917,1.636929
8,12.097705,14.183679,0.293893,0.000135,0.588757,5,0.300897,0.000118,0.119878,0.739108
9,10.511746,14.490309,0.241662,0.001341,0.406094,3,0.275604,0.000706,0.346681,3.460166
10,11.614204,14.231237,0.298316,0.000279,0.548181,5,0.308461,0.000229,0.158783,1.670526
11,12.086705,14.205187,0.290181,0.000107,0.562102,5,0.294119,0.000090,0.109321,0.437961
12,11.911708,14.212781,0.297379,0.000154,0.572727,5,0.302001,0.000129,0.124153,0.936571
13,12.011076,14.170032,0.287083,0.000153,0.559389,5,0.296549,0.000130,0.129338,0.785133
14,11.550301,14.382656,0.265346,0.000160,0.474270,5,0.267328,0.000109,0.145579,0.815324
15,11.974851,14.166946,0.270307,0.000138,0.532685,5,0.280356,0.000102,0.128295,0.381888
16,11.022349,14.266258,0.214662,0.000497,0.396426,4,0.235679,0.000266,0.291978,1.364888
17,11.766856,14.156696,0.232442,0.000117,0.419823,5,0.242210,0.000065,0.136893,0.408211
18,11.958808,14.166567,0.255977,0.000113,0.488013,5,0.265542,0.000077,0.124330,0.004430
19,10.619660,14.389062,0.197926,0.000901,0.352848,4,0.228296,0.000498,0.424033,2.488091
21,12.130836,14.187040,0.261881,0.000084,0.497696,5,0.268371,0.000065,0.111559,0.204434
22,11.904684,14.243890,0.263801,0.000092,0.483356,5,0.266202,0.000068,0.116122,0.004210
23,11.774406,14.174685,0.240089,0.000129,0.457715,5,0.249708,0.000074,0.137657,0.179704
24,10.946241,14.314039,0.283871,0.000751,0.470545,4,0.302952,0.000511,0.244887,3.148905
25,10.222639,14.717467,0.215823,0.002125,0.376623,2,0.262148,0.001123,0.479973,4.393321
26,12.108463,14.204829,0.274317,0.000085,0.511864,5,0.278514,0.000068,0.105984,0.041945
27,10.360825,14.585057,0.267024,0.001873,0.421959,3,0.306639,0.000933,0.321712,4.427862
29,10.239302,14.696585,0.259544,0.002145,0.401570,3,0.303216,0.001016,0.342945,4.789150
30,11.314573,14.483734,0.288232,0.000317,0.497178,5,0.294527,0.000227,0.173275,1.816414
31,11.564599,14.192420,0.210798,0.000134,0.385514,5,0.221221,0.000064,0.163342,0.563842
0,9.976730,15.055216,0.239243,0.003966,0.390315,2,0.295648,0.001926,0.491479,6.450634
1,12.958354,14.129486,0.294336,0.000051,0.567388,6,0.288168,0.000066,0.098037,0.387997
2,11.791228,14.104641,0.246644,0.000195,0.445699,5,0.248075,0.000163,0.206866,1.063730
3,12.383287,14.040305,0.270306,0.000115,0.510261,6,0.269604,0.000122,0.151954,0.865257
